python-greenlet 3.1.0-1
python-idna 3.8-1
python-markdown-it-py 3.0.0-2
python-mdurl 0.1.2-5
python-msgpack 1.0.5-2
python-multidict 6.0.5-2
python-packaging 24.1-1
python-pip 24.2-1
python-pip-system-certs 4.0-3
python-ply 3.11-13
python-pycparser 2.22-2
python-pygments 2.18.0-1
python-pynvim 0.5.0-3
python-pysocks 1.7.1-9
python-requests 2.32.3-1
python-requests-toolbelt 1.0.0-2
python-rich 13.8.1-1
python-shtab 1.7.1-1
python-termcolor 2.4.0-2
python-uc-micro-py 1.0.3-2
python-urllib3 1.26.20-1
python-wheel 0.44.0-1
python-wrapt 1.16.0-3
qemu-common 9.1.0-2
qemu-user 9.1.0-2
qemu-user-binfmt 9.1.0-2
re2 1:20240702-2
readline 8.2.013-1
recode 3.7.14-2
rhash 1.4.4-1
ripgrep 14.1.1-1
rofi 1.7.5-3
rsync 3.3.0-2
rubberband 3.3.0-2
runc 1.1.14-1
rust 1:1.81.0-1
sdl2 2.30.7-1
sed 4.9-3
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
smbclient 2:4.21.0-2
snappy 1.1.10-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
srt 1.5.3-2
startup-notification 0.12-8
sudo 1.9.16-1
sysfsutils 2.1.1-2
sysstat 12.7.6-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-sysvcompat 256.6-1
tailscale 1.74.1-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
terminus-font 4.49.1-7
terraform 1.9.6-1
tevent 1:0.16.1-3
texinfo 7.1.1-1
tinysparql 3.8.0-1
tldr 3.3.0-1
tokei 12.1.2-2
tpm2-tss 4.0.1-1
tree 2.1.0-1
tree-sitter 0.23.0-1
tree-sitter-bash 0.23.1-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-python 0.23.2-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
ttf-roboto-mono-nerd 3.2.1-2
tzdata 2024b-2
unibilium 2.1.1-2
unzip 6.0-21
uriparser 0.9.8-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R69-1
vid.stab 1.1.1-2
vulkan-icd-loader 1.3.295-1
wayland 1.23.1-1
wayland-protocols 1.37-1
wget 1.24.5-3
which 2.21-6
wpa_supplicant 2:2.11-2
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-5
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-2
xkeyboard-config 2.42-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorgproto 2024.1-2
xsel 1.2.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
yay 12.4.2-1
zeromq 4.3.5-2.1
zig 0.13.0-1
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-2
zoxide 0.9.6-1
zsh 5.9-4
zstd 1.5.6-1
